Transaction_ID,Customer_ID,diff_items,total_items,order_value,date,GENDER,AGE,GEOGRAPHY,month,is_holiday
1,2547,1,1,3.13,2021-01-02,F,49.0,Spain,1,False
2,822,1,1,5.46,2021-01-02,M,26.0,Italy,1,False
3,3686,1,1,6.35,2021-01-02,M,29.0,Germany,1,False
4,3719,1,1,5.59,2021-01-02,M,31.0,Germany,1,False
5,9200,1,1,6.88,2021-01-02,M,19.0,Italy,1,False
6,5010,1,1,10.77,2021-01-02,M,26.0,Italy,1,False
7,1666,2,2,11.860000000000001,2021-01-02,M,35.0,Germany,1,False
8,1253,1,1,8.25,2021-01-02,M,28.0,Germany,1,False
9,5541,2,2,14.53,2021-01-02,F,60.0,Netherlands,1,False
10,7548,2,2,7.49,2021-01-02,M,24.0,Italy,1,False
11,6865,1,1,8.04,2021-01-02,M,30.0,Germany,1,False
12,6044,2,2,7.58,2021-01-02,F,39.0,Germany,1,False
13,592,2,2,20.65,2021-01-02,F,46.0,UK,1,False
14,6450,1,1,7.02,2021-01-02,M,26.0,Italy,1,False
15,3874,2,3,21.66,2021-01-02,M,18.0,Italy,1,False
16,5599,2,2,20.72,2021-01-02,M,18.0,Italy,1,False
17,9223,2,2,12.120000000000001,2021-01-02,M,35.0,Germany,1,False
18,4921,1,1,3.75,2021-01-02,M,25.0,Italy,1,False
19,6294,3,3,19.87,2021-01-02,M,35.0,Germany,1,False
20,5780,1,1,22.25,2021-01-02,M,32.0,Germany,1,False
21,2116,2,2,14.309999999999999,2021-01-02,F,38.0,Germany,1,False
22,3624,1,1,5.87,2021-01-02,F,54.0,Greece,1,False
23,1253,4,4,27.68,2021-01-02,M,28.0,Germany,1,False
24,5058,1,1,23.61,2021-01-02,M,26.0,Italy,1,False
25,4736,3,3,23.73,2021-01-02,M,24.0,Italy,1,False
26,3071,2,3,9.14,2021-01-02,F,42.0,France,1,False
27,2065,1,1,6.63,2021-01-02,F,50.0,Spain,1,False
28,8566,1,1,2.13,2021-01-02,M,32.0,Germany,1,False
29,8303,1,1,5.12,2021-01-02,F,47.0,Spain,1,False
